id,type,seed_type,mean_length,mean_width,mean_area,stddev_length_mm,stddev_width_mm,stddev_area_mms,seeds_in_sample,sample_weight_g,thousand_weight_g,mean_circularity,mean_lw_ratio,datetime
4314,Thlaspi arvense,mutatn 8A,1.9501700839324752,1.5078423328097956,2.088131923244079,0.20208825613717832,0.17842044362330406,0.43318007492983757,276,0.33,1.1956521739130435,1.1748324330982531,1.2981486711202697,2021-06-19T14:55:00Z
4315,Thlaspi arvense,mutatn 8A,1.9015300591673747,1.4761746975048504,1.9561858521311069,0.09412813820532079,0.07637315133045575,0.16773797634171222,792,0.853,1.077020202020202,1.1750822574802948,1.2900165603106595,2021-06-19T14:56:00Z
4316,Thlaspi arvense,mutatn 8A,1.8887953504041282,1.4584034764921414,1.929208499504743,0.15850292683647513,0.1279285884315694,0.309792240064239,582,0.591,1.0154639175257731,1.180243961327147,1.2974006483235356,2021-06-19T14:56:00Z
4317,Thlaspi arvense,mutatn 8A,1.9100470331036883,1.4911838372144497,2.0099514188314336,0.21145982328142848,0.1770322312623995,0.4436976220705713,841,0.941,1.1189060642092747,1.1768582998583321,1.2839279253021745,2021-06-19T14:58:00Z
4318,Thlaspi arvense,mutatn 8A,1.9196178833244972,1.4942662745066386,2.0489445370613995,0.2412815382276664,0.20884088859246094,0.5224745077870833,178,0.199,1.1179775280898876,1.1764419671096649,1.28917823507955,2021-06-19T14:59:00Z
4319,Thlaspi arvense,mutatn 8A,1.9359670265680105,1.5010305247131726,2.027317436936795,0.09976046651909519,0.09135546024429615,0.2026314991379075,1069,1.208,1.1300280636108513,1.1807030451383167,1.2922516763806213,2021-06-19T15:00:00Z
4320,Thlaspi arvense,mutatn 8A,1.9340731843243262,1.4992421133714642,2.0438538130736417,0.19401148748957614,0.16196131508029316,0.40549411625434423,1047,1.204,1.1499522445081185,1.180646454717653,1.293135367934458,2021-06-19T15:01:00Z
4321,Thlaspi arvense,mutatn 8A,1.922765826488064,1.4719257238535426,1.985733017128118,0.1873939570676807,0.14614318206224008,0.36561383852501983,356,0.383,1.0758426966292134,1.1790520592018294,1.3088121062438078,2021-06-19T15:02:00Z
4322,Thlaspi arvense,mutant 7B,1.8534358403566225,1.4336537654420096,1.846570586597452,0.11949253675124676,0.10789667316752431,0.25632456008393245,100,0.096,0.96,1.1839256412781745,1.295834206990099,2021-06-19T15:04:00Z
4323,Thlaspi arvense,mutant 7B,1.9602636240569624,1.5306732364097928,2.1044514480064893,0.14989704169084553,0.12702118024158024,0.32603132900965087,736,0.905,1.2296195652173914,1.176016057446455,1.283090141491642,2021-06-19T15:05:00Z
4324,Thlaspi arvense,mutant 7B,1.9119487404597162,1.4922033189416979,1.9944788092467625,0.10456482372196808,0.08267608878962529,0.2050305881547626,347,0.397,1.144092219020173,1.1723864159282262,1.2828193046358505,2021-06-19T15:06:00Z
4325,Thlaspi arvense,mutant 7B,1.954025210561352,1.5310679135362422,2.1102898871099165,0.15238308201613698,0.13706071499749384,0.3279626174688595,73,0.088,1.2054794520547945,1.1691615494829954,1.2790505960162806,2021-06-19T15:07:00Z
4326,Thlaspi arvense,mutant 7B,1.9621902677720042,1.5311661027392713,2.098823381100791,0.11463290015707035,0.10595131099826602,0.2500152056647499,995,1.22,1.2261306532663316,1.1759520695076666,1.2841864665646345,2021-06-19T15:08:00Z
4327,Thlaspi arvense,mutant 7B,1.8613502269847828,1.4505770151188644,1.8785223830560331,0.09397889203588848,0.08227551428123528,0.17803815494339187,542,0.549,1.0129151291512914,1.1742057537791704,1.2853346146297577,2021-06-19T15:08:00Z
4328,Thlaspi arvense,mutant 7B,1.8036630854246232,1.4050863053760896,1.7621450313289453,0.12588678518517904,0.09991163776606071,0.24310671832003647,344,0.326,0.9476744186046512,1.1781153620246376,1.285678945322389,2021-06-19T15:09:00Z
4329,Thlaspi arvense,mutant 7B,1.850965258690035,1.45113344347072,1.8705272736430543,0.09755800025071613,0.08669604191723536,0.19209315872797544,663,0.672,1.0135746606334841,1.1732437907926894,1.2777472958015288,2021-06-19T15:10:00Z
