id,type,seeds_in_sample,sample_weight_g,thousand_weight_g,mean_area,mean_width,mean_length,mean_circularity,mean_lw_ratio,datetime,seed_type
4313,Thlaspi arvense,863,0.864,1.0011587485515643,1.8506618058711084,1.4461187006165517,1.84033664967379,1.175562656968435,1.2748057964573984,2021-06-19T14:52:00Z,mutant 11B
4314,Thlaspi arvense,276,0.33,1.1956521739130435,2.088131923244079,1.5078423328097956,1.9501700839324752,1.1748324330982531,1.2981486711202697,2021-06-19T14:55:00Z,mutatn 8A
4315,Thlaspi arvense,792,0.853,1.077020202020202,1.9561858521311069,1.4761746975048504,1.9015300591673747,1.1750822574802948,1.2900165603106595,2021-06-19T14:56:00Z,mutatn 8A
4316,Thlaspi arvense,582,0.591,1.0154639175257731,1.929208499504743,1.4584034764921414,1.8887953504041282,1.180243961327147,1.2974006483235356,2021-06-19T14:56:00Z,mutatn 8A
4317,Thlaspi arvense,841,0.941,1.1189060642092747,2.0099514188314336,1.4911838372144497,1.9100470331036883,1.1768582998583321,1.2839279253021745,2021-06-19T14:58:00Z,mutatn 8A
4318,Thlaspi arvense,178,0.199,1.1179775280898876,2.0489445370613995,1.4942662745066386,1.9196178833244972,1.1764419671096649,1.28917823507955,2021-06-19T14:59:00Z,mutatn 8A
4319,Thlaspi arvense,1069,1.208,1.1300280636108513,2.027317436936795,1.5010305247131726,1.9359670265680105,1.1807030451383167,1.2922516763806213,2021-06-19T15:00:00Z,mutatn 8A
4320,Thlaspi arvense,1047,1.204,1.1499522445081185,2.0438538130736417,1.4992421133714642,1.9340731843243262,1.180646454717653,1.293135367934458,2021-06-19T15:01:00Z,mutatn 8A
4321,Thlaspi arvense,356,0.383,1.0758426966292134,1.985733017128118,1.4719257238535426,1.922765826488064,1.1790520592018294,1.3088121062438078,2021-06-19T15:02:00Z,mutatn 8A
4322,Thlaspi arvense,100,0.096,0.96,1.846570586597452,1.4336537654420096,1.8534358403566225,1.1839256412781745,1.295834206990099,2021-06-19T15:04:00Z,mutant 7B
4323,Thlaspi arvense,736,0.905,1.2296195652173914,2.1044514480064893,1.5306732364097928,1.9602636240569624,1.176016057446455,1.283090141491642,2021-06-19T15:05:00Z,mutant 7B
4324,Thlaspi arvense,347,0.397,1.144092219020173,1.9944788092467625,1.4922033189416979,1.9119487404597162,1.1723864159282262,1.2828193046358505,2021-06-19T15:06:00Z,mutant 7B
4325,Thlaspi arvense,73,0.088,1.2054794520547945,2.1102898871099165,1.5310679135362422,1.954025210561352,1.1691615494829954,1.2790505960162806,2021-06-19T15:07:00Z,mutant 7B
4326,Thlaspi arvense,995,1.22,1.2261306532663316,2.098823381100791,1.5311661027392713,1.9621902677720042,1.1759520695076666,1.2841864665646345,2021-06-19T15:08:00Z,mutant 7B
4327,Thlaspi arvense,542,0.549,1.0129151291512914,1.8785223830560331,1.4505770151188644,1.8613502269847828,1.1742057537791704,1.2853346146297577,2021-06-19T15:08:00Z,mutant 7B
4328,Thlaspi arvense,344,0.326,0.9476744186046512,1.7621450313289453,1.4050863053760896,1.8036630854246232,1.1781153620246376,1.285678945322389,2021-06-19T15:09:00Z,mutant 7B
4329,Thlaspi arvense,663,0.672,1.0135746606334841,1.8705272736430543,1.45113344347072,1.850965258690035,1.1732437907926894,1.2777472958015288,2021-06-19T15:10:00Z,mutant 7B
